"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DRC3",0.393786318678867,0.645975405761742,2.60079972785096,0.010552973992052,0.999798845119145,-2.77737846590402
"MEDAG",-0.587627896975474,0.893239998921823,-2.59957655217952,0.0105884680779281,0.999798845119145,-2.7797295684316
"NPM1P6",0.692251644252696,2.15772626550576,2.58239218034173,0.0110986243755564,0.999798845119145,-2.81265939660169
"SULF2",0.454828771145148,2.20742358465277,2.58016948910986,0.0111662012823622,0.999798845119145,-2.81690490690861
"MARK3",-0.241335830214919,3.98426187402306,-2.57819032127606,0.011226685757374,0.999798845119145,-2.82068261337122
"OR1L8",-0.48012071384305,0.57112861444837,-2.57574512688642,0.0113018193353242,0.999798845119145,-2.82534638508508
"FUOM",0.75085588676106,2.75748438917153,2.57482677257417,0.0113301543084804,0.999798845119145,-2.82709699493836
"RPL12P42",0.486324695822092,0.528058000092534,2.57231681152327,0.0114079231818786,0.999798845119145,-2.83187884933334
"RNA5SP353",0.808272609967856,1.09091000811463,2.57093660479608,0.0114508919585054,0.999798845119145,-2.83450663462692
"MYL11",-0.522672514481803,0.818543320137732,-2.57082124506103,0.0114544899366953,0.999798845119145,-2.83472621366274
"PLPP1",0.6518872871926,1.57395234910177,2.56624693626142,0.01159798109942,0.999798845119145,-2.84342622176755
"RNY4P20",0.831768232284148,1.2147454594942,2.5618097014534,0.0117387146483313,0.999798845119145,-2.85185272623179
"SFRP2",-0.550803553850438,0.855731943474462,-2.55837382624119,0.0118487410366282,0.999798845119145,-2.85836894019681
"CA5B",-0.402391930293119,1.56877798045997,-2.55764616694167,0.0118721613155941,0.999798845119145,-2.85974799141864
"DDX43",0.585052596275126,1.02893678987808,2.5570218019984,0.0118922901367414,0.999798845119145,-2.86093100982033
"AXIN2",-0.421321192008411,0.764470509407903,-2.55635335756678,0.0119138740158136,0.999798845119145,-2.86219727100334
"KIAA2013",0.481074489184653,3.12067939673541,2.5557950778749,0.0119319276748309,0.999798845119145,-2.86325462311367
"TMEM273",0.572978238843609,1.91510268116352,2.55363715672971,0.0120019419179616,0.999798845119145,-2.86733973166703
"RN7SL587P",0.704068240328833,2.93454025922663,2.55161734430419,0.0120678093514973,0.999798845119145,-2.87116068328582
"LRRK2-DT",0.613276895020058,1.35434304829423,2.54615906347898,0.0122474348017761,0.999798845119145,-2.88147320923817
"TNFRSF10A-DT",-0.394671055331339,0.437167220979207,-2.54409211807107,0.0123160797039473,0.999798845119145,-2.88537336888345
"RPL23AP2",0.514064694559094,0.721913611281847,2.54076972720174,0.0124271429441632,0.999798845119145,-2.89163670006343
"CD22",-0.646027993092259,3.29677047012534,-2.53652234161904,0.0125704362917094,0.999798845119145,-2.89963348421805
"IMPA2",0.471927923198328,4.16793891305583,2.52427061398495,0.0129921123769994,0.999798845119145,-2.92263542399718
"HPN",0.382005138207124,0.494050399436667,2.51991236206592,0.0131451437062949,0.999798845119145,-2.93079447620718
"GOT2P1",0.41446149157017,0.380720029944715,2.51685489051692,0.0132534627351685,0.999798845119145,-2.93651103344975
"PURG",0.349101363513798,0.307420909997534,2.51458050170397,0.0133345569277038,0.999798845119145,-2.94075954660927
"CENPT",-0.423582518253947,2.9243480211444,-2.51316012245346,0.0133854262677941,0.999798845119145,-2.94341109257033
"UNC50",0.60000601016556,1.99059986838528,2.49976791585123,0.0138736652500399,0.999798845119145,-2.96834738953515
"RIOK3",-0.375834883929014,7.09036112400493,-2.4987422792542,0.0139117057185276,0.999798845119145,-2.97025234276835
"MMP12",0.424753346001487,0.373828701590313,2.49368399496461,0.0141006838602459,0.999798845119145,-2.97963731944979
"ANTKMT",0.582292388443787,1.65647311119605,2.49260808666984,0.0141411748023833,0.999798845119145,-2.98163138709834
"PUS10",0.390492623432854,1.077066503919,2.49137172063798,0.0141878328073021,0.999798845119145,-2.98392191765655
"NKIRAS1",0.404906298404953,1.47929596919124,2.49039530975321,0.0142247778484883,0.999798845119145,-2.98573014690923
"RALGPS2",-0.560824198940213,2.91378303260872,-2.48090041883903,0.0145885513472169,0.999798845119145,-3.00328162754741
"CFD",0.740768393269546,2.4815236122957,2.4773775418202,0.0147256215244429,0.999798845119145,-3.00977884672096
"LINC00926",-0.667174561325608,2.22936099656329,-2.47507246175333,0.0148159303763474,0.999798845119145,-3.01402572728686
"VPS37C",0.480045376942692,2.96449680351547,2.47173848062583,0.0149474247405612,0.999798845119145,-3.02016214579724
"PAX5",-0.616739171919273,3.16018766861149,-2.46686838778399,0.015141377057878,0.999798845119145,-3.02911289020966
"IDH3B",0.512785650087563,4.29938839493265,2.46603344558165,0.0151748533940639,0.999798845119145,-3.03064588096172
"ITGA1",0.350648084507407,1.01131951068276,2.46182519936121,0.0153445870227201,0.999798845119145,-3.03836549872892
"TXLNG",-0.439689795938802,3.1008588064573,-2.45995188369099,0.015420687809928,0.999798845119145,-3.04179820412047
"MAK16",0.473619732294938,3.15830164007609,2.45855097688444,0.015477817473516,0.999798845119145,-3.04436376277992
"CTPS1",0.322004360449832,1.44576841494941,2.45766930813936,0.0155138690645939,0.999798845119145,-3.04597775613666
"PRNP",0.52367134975821,2.99666549154708,2.45694279408814,0.0155436326105333,0.999798845119145,-3.04730734070505
"ZNF547",0.40462558766585,0.649956451212797,2.45661809430148,0.0155569512417859,0.999798845119145,-3.04790145860884
"ZSCAN30",0.396607554662685,1.20799656707296,2.4516372698795,0.0157625353178472,0.999798845119145,-3.05700648321758
"B3GALT4",0.556825939770004,2.47861665409368,2.45051773304277,0.0158090763203896,0.999798845119145,-3.05905078663247
"CNN1",-0.770996060321604,2.35983234571524,-2.4462977003596,0.0159856129368737,0.999798845119145,-3.06674932328924
"RNU6-1251P",-0.687014629600371,0.792745054508461,-2.44619122429461,0.0159900897779035,0.999798845119145,-3.06694341546713
"TSPY26P",0.451100181441371,0.864687463648477,2.4458850721035,0.0160029683287055,0.999798845119145,-3.06750145030777
"HAR1B",0.328952829365396,0.336739919892677,2.44354892303513,0.0161015451002848,0.999798845119145,-3.07175761933034
"IQCK",0.399653059613226,0.962995543529605,2.44329826933837,0.016112153815927,0.999798845119145,-3.07221406700079
"ADH7",0.369479323658865,0.303371255904679,2.43490863893373,0.0164708489464868,0.999798845119145,-3.08746813985481
"MAD2L1",0.476875266652854,1.50857853864081,2.432873732727,0.0165589145876873,0.999798845119145,-3.09116108170084
"ZNF154",-0.405322242364093,1.37993291070104,-2.43031511779973,0.0166702396121974,0.999798845119145,-3.09580060305259
"TCL1A",-0.930389766708852,3.46081687541679,-2.42857260811245,0.0167464367265234,0.999798845119145,-3.09895783250579
"SLC5A3",-0.325737890989439,0.834086176809439,-2.42539936267448,0.0168859938796447,0.999798845119145,-3.10470228482712
"ANAPC1P2",0.350800599554686,0.619399254350277,2.42464917102796,0.0169191375994515,0.999798845119145,-3.10605937524934
"MAPK8IP3",-0.303073006176521,2.13632780238413,-2.42402726802524,0.0169466573342021,0.999798845119145,-3.10718411302943
"SLC38A2",-0.311129601990212,3.95084503762052,-2.42158243968011,0.0170552293117042,0.999798845119145,-3.11160323125271
"H3-7",0.341742422272648,0.372588253580919,2.42156819806162,0.0170558635731697,0.999798845119145,-3.1116289620305
"FOLR3",0.818871724741402,2.52302718412082,2.42126343288021,0.0170694415532397,0.999798845119145,-3.11217955895313
"NRM",0.631958719580704,3.06671039937899,2.41654839141039,0.0172807353226649,0.999798845119145,-3.12069011865495
"PPARA",0.364044243474819,2.14661155916548,2.41627557066966,0.0172930320022087,0.999798845119145,-3.12118210858626
"FTCDNL1",0.47174790097877,1.37288189905597,2.41376785842395,0.0174064253316441,0.999798845119145,-3.12570209132115
"MPZL3",-0.474438923852724,2.79782745885584,-2.41067029936341,0.0175474020381204,0.999798845119145,-3.13127953494167
"POT1",0.32745752980961,1.83344423810167,2.40936871319157,0.0176069421122588,0.999798845119145,-3.13362128219493
"BCLAF3",-0.280167096360115,2.86342330888661,-2.40860371817188,0.0176420199008635,0.999798845119145,-3.1349971029151
